,annotations,candidates_holder,tweet_text,tweetid
286,['frankie'],['frankie'],"Someone go edit Frankie's wiki page to have the result of that last match be ""legalized murder"" ",2994
287,"['niall', 'liam']","['niall', 'liam']",Liam watching Niall's performance at ,1693
288,[],[],this isn't funny but it's funny ,2555
289,"['wnyers moc', 'townhall']",['moc'],Host a townhall. @RepChrisCollins WNYers know MOC exempted themselves from the worst parts of the  Your constituents wd like a word. ,569
290,[],[],Numberwang!! ,1252
291,"['dq', 'nc']","['dq', 'nc']",That's bullshit it shouldn't be a NC he should have got DQ ,2691
292,[],[],White women are tired of being fucked with if ya don't wanna get slapped like a bitch leave me alone lol ,2405
293,"['obama', 'isil']",[],"Obama: ""We're Training ISIL""   i ",1250
294,['african americans'],['dear african americans'],"Our common struggle is not about race, it is against unrestrained globalis… Dear African Americans - he lied to you. ",2379
295,['french'],[],He will lecture us all about diversity but will live like all hypocrites quite differently! He's an elitist white French snob! ,2326
296,[],[],Hi @Camila_Cabello 👋🏼😘 Gorgeous as always! ,2007
297,[],[],Hi @Jiffpom! Thanks to our friends  and . Our backstage social stop was so much fun! ,1631
298,[],[],@FrankieEdgar beat up @panteraufc like hes bestfriends with @bjpenndotcom ,2749
299,"['carter page', 'trump', 'greg leppert', 'fisa', 'fbi']","['carter page', 'trump', 'greg leppert', 'fbi']","Greg Leppert is reading ""FBI obtained FISA warrant to monitor former Trump adviser Carter Page"" ",528
300,"['russian', 'trump', '2016 presidential campaign', 'fbi']","['trump', 'fbi']",FBI had reason to believe during 2016 presidential campaign that Trump team included Russian agent or agents. ,276
301,[],[],If u feel like u need to tell someone u can share it or DM     😘 Creating a safe space for ppl who need it. ,3001
302,['carter page'],['carter page'],"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost ",5
303,"['carter page', 'russian', 'fisa']","['carter page', 'russian']","FISA warrant because they believe he was/is a Russian agent. Look it's Carter Page, once again. Oh my. ",361
304,"['gop republicans', 'rep. joe kennedy']",['joe kennedy'],Calling it like it is 💚  The GOP Republicans My   is Rep. Joe Kennedy. ,994
305,[],[],what the contestants think we want to see vs. what we really want to see ,1093
306,"['maia', 'masvidal']",['maia'],Maia is amazing but Masvidal ftw This fight is gonna be live. ,3039
307,['hillary clinton'],['hillary clinton'],Hillary Clinton - a true story of murder   i ,1350
308,"['amanda', 'texas', 'nina']","['amanda', 'texas', 'nina']","Not visiting Texas anytime soon. Goes to show how conservative Texas is. When Amanda kissed her gf Nina, I heard some boos. ",2944
309,['spain'],['spain'],Spain be like ,1191
310,[],[],Okay  over now to watch whatever this  is so I can see the @backstreetboys!! ,1819
311,['edgar'],['edgar'],Edgar did him! ,3034
312,[],[],We see you @ALIAQUINTA 😂 ,2711
313,"['ukrainne', 'russia', 'bosnia', 'portugal']","['portugal', 'ukraine', 'russia', 'bosnia']","Russia or Bosnia to win next year? Portugal takes 1 year off, wins the next year. Ukraine takes 1 year off, wins the next year. ",1116
314,['maia'],['maia'],"I got Maia, he even comes out to my favourite song from high school. ",2581
315,['united kingdom'],['united kingdom'],"as if we weren't already unpopular, post-brexit united kingdom may be the first contestant to actually get negative points! ",1450
316,[],[],@NiallOfficial had all of  swooning over  &amp; more! ,1893
317,['miley'],[],Miley backstage at . ,1582
318,[],[],HAPPY BIRTHDAY MT… @noahcyrus &amp; @MileyCyrus surprised mommy @tishcyrus with a birthday cake at  tonight! ,1762
319,"['dear white people', 'bill nye. sjw']","['dear white people', 'bill nye', 'netflix']","I didn't like ""Dear White People"" and Bill Nye's new SJW show... but censoring old content.. NETFLIX CANCELED ",1013
320,[],[],who don't like hashtags about white people are the snowflake white people who need to actually learn about white people. ,2275
321,['ukraine'],['ukraine'],Ukraine's president cancels  visit after deadly shelling in east ,1526
322,[],[],"Mad respect guys! Grateful for white men who recognize their societal privilege, and use it to empower women &amp; people of color. ",2226
323,"['nunes', 'wh']",[],"You know, like a liar does. Makes it seem like Nunes and the WH colluded to hide the real reason the admin was surveilled. ",518
324,[],[],when the memes are spicy ,1087
325,['house republicans'],[],alternately: the 20 ppl i will kindly usher out the door before i open a can of whoop-ass on the rest of the house republicans ,949
326,[],[],are alright. ,2147
327,"['maia', 'masvidal']",['maia'],Maia v Masvidal. This feels like a main event to me. ,3027
328,[],[],"Untreatable and terminal at mid-term elections, 2018. Maybe it is time voting for the  became a preexisting condition. ",711
329,[],[],That song will be used at that guy's child custody hearing ,1175
330,['carter page'],['carter page'],They're traitors for the obfuscation. @seanhannity and @marklevinshow &amp; others have lied about possible treason by Carter Page &amp; others. ,407
331,[],[],I thought he was supposed to b eating seaweed like his wife's lunch menu for kids ,2417
332,['camila'],[],Camila no backstage do ,2052
333,[],[],ONE DREAM ONE BAND ONE DIRECTION ,1750
334,"['ahca', 'democrats', 'house']",[],Watch as Democrats break out in song as the AHCA passes the House ,850
335,['eddie alvarez'],['eddie alvarez'],@DustinPoirier pouring it on Eddie Alvarez at ! Wow! ,2766
336,"['carter page', 'fisa']",['carter page'],FISA Warrant was issued for  advisor Carter Page. ,222
337,['michelle'],['michelle'],Suckers We are off the hook before it imploded. Let's go Michelle. ,585
338,"['carter page', 'spicer']","['carter page', 'spicer']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao. ",102
339,['hrc'],['white house'],"@FBI BUT WENT AFTER HRC, NOW WE HAVE A LUNATIC IN THE WHITE HOUSE AND U HAVE BIG RESPONSIBILITY FOR THIS ",165
340,[],[],When u are about to sneeze ,1086
341,[],[],Who else wants a private serenade from @NiallOfficial?!!?? ,2004
342,['house republicans'],['house republicans'],Way to go House Republicans! Putting their seats in jeopardy for nothing! Exactly! ,604
343,[],[],Just when you think you can't love the bloke more ,3002
344,['carter'],[],"""...carter...page...now theres a name i havent heard in years.."" ",292
345,"['us', 'fisa']",['us national'],A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops. ,52
346,[],[],Tomorrow 🙌 ,2045
347,"['carter page', 'carter']","['carter page', 'carter']",get a clue carter page c'mon carter. carter page you dumbass. ,34
348,['liberals'],[],When Liberals show hate of   it shows their true colors - The color of racism. ,2520
349,[],[],Goodnight to everyone whose most valuable possession is either their phone or their sneakers. ,2469
350,"['maia', 'matt brown', 'jorge', 'carlos condit']","['maia', 'matt brown', 'jorge', 'carlos condit']","I want to say that Jorge is probaby about to fuck Maia up, but I thought the same for Matt Brown and Carlos Condit. ",2984
351,"['george soros', 'europe']","['george soros', 'europe']",George Soros wants to bring down Europe's borders   i ,2306
352,['rodriguez'],['rodriguez’s'],"MMAFightingDude, Rodriguez’s eye is a freakin’ mess. ",2885
353,"['carter page', 'fisa']",['carter page'],"if you had carter page on your ""fisa warrant bingo"" card, please step up and collect your winnings ",298
354,[],[],is trending because of bot accounts. ,2115
355,[],[],So do your damn part! Young people haven't! They already paid in! Young people don't realize elderly citizens paid taxes over a lifetime. ,1040
356,[],[],Come to  &amp; see  having fun in… Make sure you're diapered! Watching ? ,1105
357,['obamacare'],[],Obamacare failed to cure stupid...you're still whinging.. 👏🏻 What made you think they wouldn't do it? They campaigned on it &amp; won. ,946
358,[],[],Will this be the flip needed to end this fiasco. ,511
359,['white supremacist'],[],I'm doing the OK symbol and I'm white 👌🏼 I must be a white supremacist in liberals eyes 😂😂😂 Oh no!!! ,2270
360,[],[],"Well... um..."" ""What's  like? ",1502
361,[],[],The age of guilt is over. ,2135
362,"['gamebredfighter', 'jorge masvidal']",['jorge masvidal'],It's demianmaia vs. Jorge Masvidal (GamebredFighter) up now.… A title shot is on the line at . ,2828
363,"['nate', 'masvidal', 'demian maia']","['nate', 'demian maia']","@UFC Please don't get Nate Marquardted again by Masvidal. Dear Demian Maia, ",2787
364,[],[],Looks like there is something there. ,307
365,['liam'],[],THEY INTERVIEWED LIAM I'M SO GLAD THAT I'M WATCHING 😭😭😭 ,2000
366,[],[],Sorry but this GIF needs to be on your timeline ,1193
367,[],[],@MileyCyrus told @officialellenk she has something up her sleeve that's going to involve a lot of balloons tonigh… ,1743
368,"['russian', 'trump', 'carter page', 'washington post', 'page', 'fbi']","['trump', 'washington post', 'carter page over page']","The ""Washington Post"" says the FBI got a warrant to surveil former Trump campaign adviser Carter Page over Page's purported Russian ties. ",472
369,[],[],"It's actually the hat that sells you as a white supremacist but keep trying, sweaty :))))) ",2174
370,"['house', 'obamacare']",['house'],[VIDEO] House HAS VOTES Now To REPEAL OBAMACARE! ,709
371,[],[],And will be intercepting it ,936
372,['maia. linking park'],['linkin park'],He's got my vote. Maia walking out to Linkin park. ,2861
373,"['frankie edgar', 'mma']",['frankie edgar'],I love MMA. Frankie Edgar impregnated a man's eye tonight. ,2961
374,[],[],Me looking at this  💀💀💀 ,2474
375,[],[],Goin thru  tag reminds me of the episode of fairly odd parents when everyone was gray blobs bc they're all saying the same shit ,2402
376,"['frankie edgar', 'holloway']","['frankie edgar', 'holloway']",I really can't wait for his inevitable showdown with Holloway Frankie Edgar remains the gatekeeper to the top 3 of featherweight. ,2990
377,[],[],ADMINISTRATOR REQUIRED IN NELSPRUIT     ...[READ MORE] &gt;&gt; ADMIN : Mpumalanga ,1467
378,"['snapchat', 'instagram']",[],Username:… Take a peek on our Snapchat / Instagram! Queen @katyperry SLAAAYED the  stage! ,1718
379,['carter page'],['carter page'],There are many players it's hard to keep straight..thx @funder for a recap you want to do a thread on Carter Page. ,448
380,[],[],And you're wondering why we're leaving? ,1454
381,"['russia oil', 'russia', 'trump', 'us', 'ceo']","['russia', 'trump']",CEO of Russia Oil offered Trump adviser he felt deal to get US sanctions lifted: ,186
382,"['maia', 'masvidal']","['maia', ""ko'd. otherwise masvidal""]","Otherwise Masvidal will be subbed in 1st. If Masvidal can take Maia into the 3rd round, Maia will tire &amp; be susceptible to be KO'd. ",2800
383,"['carter page', 'trump', 'washington post', 'fisa', 'fbi']","['carter page', 'trump', 'washington post', 'fbi']","World News; ""FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post"" ",320
384,"['carter page', 'trump', 'fisa']","['carter page', 'trump']",A second 90-day renewal of the FISA warrant on Carter Page means it was granted post-election and still valid after Trump's inauguration. ,495
385,['john fugelsang'],['john fugelsang'],"LOVE you John Fugelsang! Smart, witty and knowledgeable. ",443
386,[],[],digs for the truth in @FoxNews interview w me. ,2361
387,[],[],this is the dumbest show on television ,347
388,[],[],Not bad at all! ,1257
389,['electoral college'],[],don't worry guys we could still win the electoral college ,1403
390,"['carter page', 'russia', 'paul manafort']","['carter page', 'russia', 'paul manafort']","They deny &amp; deny but the guilt is palpable. It is uncomfortable watching  ""Carter Page"" or Paul Manafort interviews discussing Russia. ",496
391,[],[],A GODDESS @katyperry 💋 ,2033
392,"['house', 'senate']",['senate'],@POTUS w/C Now it will be up to the Senate and I am sure 2 committee! Now the House can say they delivered on Repeal &amp; Replace . ,661
393,[],[],It is controlled by the strong until someone else stronger comes along. The land belongs to no one. ,2506
394,['ann courter'],['ann courter'],"bad for women who are charged more for insurance than men Yet another  lie or as Ann Courter puts it... he just ""bull sh*ts"". ",609
395,['sims city'],['sims city'],My Sims City has better health coverage than . ,703
396,['yodeling'],[],IF YOU AREN'T COMBINING YODELING AND RAP YOU DON'T BELONG IN ,1324
397,['linkin park'],['linkin park'],And the OLD Linkin Park. Linkin Park. Linkin Park? ,2727
398,"['niall', 'on the loose']",[],Niall perfoming 'On the Loose' at  (via @1027KIISFM) ,1946
399,[],[],trump 1sssjxjxjxbxbdbdbbdbds 50 COLORS! ,1970
400,[],[],Well deserved   👏🏆😍 🇵🇹 wins the 2017  Song contest with 758 points! ,1487
401,[],[],in  @blanchemusicbe From    @Eurovision @EurovisionMex… ,1540
402,[],[],May the media never lose focus ,8
403,['maia'],['maia'],Let's go Maia. ,2821
404,"['maia', 'masvidal', 'george']",['george'],"Please! Save us from backpack wrestling, George! it might be Maia but I'm hoping for Masvidal. ",2919
405,[],[],Time to make myself mad looking through posts for no reason. is trending. ,2513
406,['australian'],[],"This is why we can't have nice things. God damn it, someone with an Australian flag jumped on stage and pulled their pants down. ",1371
407,[],[],What asses!! How much did the taxpayers pay for their celebration? ,826
408,['liam'],['liam'],📸 | Liam at  tonight -11 ,1765
409,[],[],"Sorry, I'm not oppressed. ",2425
410,[],[],Give us @brian_littrell with a kid any day! ,1657
411,[],['special ed'],@CitizenCohn Not much discussed;  really important. Special ed services for disabled kids would be cut under the . ,843
412,[],[],you're so brave thank you for sharing your story ,2145
413,"['whites', 'nazi']",['nazi'],is trending for everyone to hate on Whites and If your a white male who's proud of his heritage you're a racist fucking NAZI ,2068
414,['violet'],"['violet', 'carson']","Hey Violet performant Guys My Age au , Carson (13/05) | realpatrickjones ",1603
415,['obama'],['obama'],But remember the real issue is the leaks from Obama officials that may or may not have happened ,319
416,[],[],The two creepy hosts get a warning in their earpieces ,1149
417,"['cuban', 'scarface', 'arriba']",['arriba'],"Lmao Cuban nigga comes out to scarface theme song winner in my book, Arriba 🇨🇺!!!!! ",2763
418,[],[],The person that figures out the answer will be a virtual Genius ,1153
419,['constitution'],['constitution'],"The Constitution was written up and signed by  😲😲 ""them crackers so evil trying to make a civilized society and shit"" 😂😂 Pssst.. ",2156
420,"['scottish', 'irish']",['scottish'],🙏🇺🇸😉👍😘😍💃🌹👌 Proud to be one and of Irish and Scottish descent. Are awesome get to know them. ,2295
421,[],[],"If you ever seriously said ""but her emails,"" whatever mental disorder you have is a pre-existing condition not covered under the . ",856
422,"['gauteng', 'superior spa']",['gauteng superior spa &amp; bath'],Superior Spa &amp;amp; Bath - established co...[READ MORE] &gt;&gt; ADMIN : Gauteng ,1469
423,[],[],"Still waiting for someone to actually disprove ""deplorable."" ",1027
424,"['america', 'trump', 'dems']","['america', 'trump']","All Dems know...Name calling, riots, looting, fake news against Trump, destroy America for vindictiveness rather th… ",2188
425,['frankie edgar'],['frankie edgar'],"There's just no denying it. Once again, we are reminded that Frankie Edgar is one of the greatest of all time. ",3040
426,['family services'],['family services'],Or a detox center. Or a free clinic. Or a hospital. Maybe @SpeakerRyan should go to work at a Job and Family Services for a week. ,735
427,['christians'],['christians'],Fake Christians just voted to kill their voters for a tax cut. Sounds about right. ,864
428,"['russian', 'carter page']","['russian', 'carter page']","@GuardianRover @20committee In probably the only time in my life where I'll agree with Russian spies on something, I don't think Carter Page is too bright. ",533
429,"['liberal', 'republicans']",[],THANK YOU Republicans for passing the  ! Today we are DROWNING in them. Nothing SWEETER than Liberal tears! ,791
430,[],[],Today was a good example. How do those in power get their sick jollies off? ,741
431,[],[],"Drips become waterfall, part I. ",41
432,['tokio hotel'],['tokio hotel'],Tokio Hotel is good! ,1122
433,['president'],['president'],"A sexual assault offender can become President, but a sexual assault victim cannot get healthcare. ",797
434,[],[],They hate  but use the White man's inventions daily. We have no use for anti-Whites. ,2475
435,[],[],Just in case you needed reminding what a war @stipemiocicufc vs. @junior_cigano was before the rematch at  t… ,2930
436,[],[],This (!) @PeteOlson ,909
437,[],[],Dont forget that if you drink/drug drive after  you may end up with more points than ,1402
438,['house republicans'],['house republicans'],"Sorry losing isn't fun, not that I know what that feels like. House Republicans did their job and the left can't take it. ",621
439,['democrats'],[],"This isn't a sporting event ya assclowns. Yo democrats, I'm with ya and all but in the mean time , people are gonna die. ",668
440,[],[],Blacks who never lived during slavery still receiving for slavery who never lived during slavery are still paying for slavery. ,2414
441,[],[],The right thing to do is to fight for other races to have what I have had. I've been given a privilege because of my skin. ,2216
442,"['niall', 'cantando', 'this town']",[],Niall hoy cantando 'This Town' en ,1857
443,"['masvidal', 'scarface']",[],Masvidal coming out to the Scarface music and I'm immediately rooting for him ,2892
444,"['maia', 'linkin park', 'numb']","['maia', 'linkin park']",I want Maia to win just for coming out to Numb by Linkin Park ,3067
445,['frankie edgar'],['frankie edgar'],that sucks that the fight didn't go all three rounds but Frankie Edgar got their Victory and that's good enough I guess but oh well ,2752
446,[],[],I love  &amp; I'm sick of all the hate that's spewed at them from racist minorities &amp; liberals who suffer f… ,2114
447,['frankie edwards'],['frankie edwards'],"So...much...swelling! Congrats, Frankie Edwards. God damn! ",2837
448,[],[],Gonna be a good one! ,2932
449,[],[],I'm not ready for this fight ,2943
450,['on the loose'],[],On The Loose via @chxudry. ,1992
451,"['eurovision', 'north cork']","['eurovision', 'north cork']","(True story, millennials) Remember the time we held Eurovision in a shed in North Cork.... ",1219
452,['ukrainian'],['ukrainian'],"Nighty night :) Congratulations to the winner and many thanks to Ukrainian soldiers who make it possible too! So,  is over. ",1198
453,[],[],CamilaNationBr: ,1795
454,[],[],Matching icons for you and your loser friend ,1284
455,[],[],"Sre you going to denounce this overt racism in your name, @GOP, @RNC, &amp; @TNGOP? ",2164
456,[],[],"Racist liberals, stop the hatred of  who support  &amp; want limited government - … ",2423
457,[],[],Post Fight Interview with @DavidcBranchMMA @BSO ,2798
458,[],[],He so upset that white people getting call on their bs ,2247
459,[],[],s  is finishing up across the country just in time 4  Please help these p… ,2399
460,['australian'],[],We love and respect this contest  pls RT Important that's known. The mooner was NOT Australian. ,1157
461,"['africans', 'iq']",[],"created the Internet to give people the free speech to say stupid shit, it's not racist, it's known fact Africans have lower IQ ",2430
462,"['maia', 'masvidal']",['maia'],Masvidal - 32% Maia - 68% Fan Poll results as of writing this: ,2622
463,"['carter page', 'sean spicer']",['sean spicer carter'],I will do computer networking and IT security on   Sean Spicer Carter Page Check this out! ,154
464,[],[],"Not one single person in this very white, very male photo will be affected if the  passes. ",964
465,['congress'],['congress'],Acting like toddlers I might add! Remember folks- these are grown up adult men &amp; women elected to Congress. ,674
466,[],['brigade'],The asshole brigade. ,631
467,['uk'],['uk'],YAY! 12 points to UK! ,1479
468,['congress'],['congress'],Please support @MikeLevinCA runs for Congress against @DarrellIssa what voted YES on ,593
469,[],[],@RyanSeacrest can't help but join the @maroon5 party!!! ,1961
470,['frankie edgar'],['frankie edgar'],I have so much respect for Frankie Edgar ,2764
471,"['carter page', 'fbi']",['carter page'],FBI reportedly probed ex-Trump aide Carter Page during campaign ,360
472,[],[],But it comes w/ unearned privilege and failing to acknowledge it makes you an asshole. It's part of who I am. I like my skin. ,2516
473,[],[],So much talent in one photo 👍🏼😁 @alessiacara @Zedd 🙌🏼 ,1676
474,['australian'],[],Thank god that ugly bottom was not Australian! ,1181
475,[],[],Would u wanna b a GOPer who voted against  n has 2 face the wrath of the base or 1 who voted 4 it n has 2 face the wrath of evry1 else? ,861
476,[],[],"A religion war, a race war, a world war! Choose Your fate  this is a war. It starts with a scarf and ends with no freedom left. ",2420
477,['russia'],['russia'],"Recruited as a spy by Russia, foreign policy advisor  being investigated as part of  case. ",204
478,"['democrats', 'republicans', 'obamacare', 'house republicans']",['house republicans'],Democrats broke into this chant after House Republicans voted to repeal Obamacare ,618
479,"['maia', 'edgar']",['edgar'],Total mauling  Edgar schooled the young buck I think Maia bout to do the same ting . ,2716
480,"['scarface', 'linkin park']",['linkin park'],Scarface Theme &gt; Linkin Park  @ufc ,2839
481,['sam clovis'],['sam clovis'],"@yottapoint I would NEVER contradict, but, Sam Clovis?? ",88
482,[],[],Horrifying. Is. This. ,1740
483,"['carter page', 'trump', 'fisa', 'fbi']","['carter page', 'trump', 'fbi']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics ,51
484,"['trump', 'carter page', 'washington post', 'barry', 'fbi', 'fisa']","['carter page', 'the washington post', 'trump', 'barry', 'fbi']",Barry WHO GAVE ORDERS ? FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post ,218
485,['obamacare'],[],for relief from the  failed Obamacare. ,635
486,"['american christians', 'jesus christ']","['american christians', 'jesus christ']",Oh my fucking god! This pic is what American Christians thinks represents the teachings of Jesus Christ. ,571
487,['reps'],[],Get in touch with your reps ,901
488,[],[],While an African American would have done life 4 what u did @realbrockturner here you go asshole.The privilege of being white. ,2118
489,[],[],@LiamPayne + @edsheeran = STRIP THAT DOWN ,1817
490,"['us', 'fisa']",[],Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates This is huge. ,25
491,[],[],"Be bold, you did this. You forgot one... Voted to make rape a pre-existing condition so women will fear to report and lose insurance. ",724
492,[],[],When someone asks how I am doing ,1090
493,"['trump', 'nunes']",['trump'],"All NG for Trump. This today, fake bombing questions, new proof Nunes lied, take your pick. @crynearson22 @tommyxtopher Yup. ",539
494,[],[],delete this ,2394
495,[],[],"Just like how any race trending isn't and shouldn't be acceptable. shouldn't be a thing, ever. ",2186
496,[],[],There's the guy in the yellow suit. I remain struck by the diversity. ,557
497,[],[],"👏🏼 If you're not racist, nothing about this should offend you. Correct. ",2086
498,['gorilla'],[],0/10 UNTIL THAT GORILLA CAME OUT 100000/10 ,1481
499,"['cbo', 'trump']",['trump'],Why do you think the republicans outran that score? Wait till the Trump followers get a load of that. the   has no CBO score. ,922
500,[],[],"You will hear us! You are the death panel! You sentenced innocent folks to death! Screw you! @RepMcSally, ",759
501,"['masvidal', 'shadow boxing']",[],I love that Masvidal doesn't even try to play to the cameras when shadowboxing ,2656
502,[],[],Oh wait... ,2557
503,[],[],Same people against  R the main ones that need it🤔cuz  is 4 the rich &amp; uninjured &amp; U aint Rich😂 ,828
504,[],[],He just sent a reminder to anyone who doubted him going into this fight @FrankieEdgar was fired up walking by media row. ,2757
505,['carter page'],['carter page'],"@normative Which says a LOT about Carter Page, ",145
506,[],[],JUST DO IT for your lover ,1299
507,[],[],Needs more inspirational quotes 0/10 ,1266
508,[],[],Well at least this takes the heat off @PressSec ,35
509,[],[],I see white people. ,983
510,[],[],Agreed ,920
511,[],[],Check out this thread. ,1004
512,['scarface'],[],Gotta say @GamebredFighter coming out to the Scarface music is pretty sweet @ufc ,2890
513,"['russia', 'maxine waters']","['russia', 'maxine waters']","THANK YOU for not EVER letting go of the REAL scandal: TREASON, collusion with Russia. Maxine Waters is DA WOMAN. ",143
514,['bidet'],[],I CAN'T BELIEVE WE LOSE TO PEOPLE THAT DON'T EVEN KNOW WHAT A BIDET IS ,1343
515,"['stipe', 'junior']",['junior'],May the best champion win ! Let's go Junior vs Stipe !! ,2935
516,[],[],THIS x 1000000000 ,2259
517,['frankie edgar'],['frankie edgar'],That's all. Frankie Edgar is phenomenal. ,2883
518,['europeans'],['europeans'],Atrocities commited by Europeans against indigenous people worldwide NOTHING2 B rejoicing N. Europeans R Great! Who ever told U 2B ashamed? ,2089
519,['european'],[],🇺🇸👌🏼 I love my European heritage. Don't be ashamed of your race or loving your heritage because it's a taboo now. I love . ,2142
520,[],[],When you love brutal knockouts but still keep it classy  @MMARoasted @MMA_Inciter @MoTownPhenom… ,2977
521,[],[],That vocal tone though 💝 ,1173
522,"['maia', 'masvidal']",['god'],"Masvidal/Maia @ufc @lthomasnews God, this fight is special. ",2773
523,[],[],Congratulations to  who won for the first tim… Here are the full results of  2017 Grand Final! ,1354
524,[],[],Cause  are the problem w ,2167
525,['camila cabello'],['camila cabello'],CAMILA CABELLO IS COMING FOR BLOOD PASS IT ON ,1965
526,"['numb', 'ariel g', 'scarface', 'jorge masvidal', 'linkin park', 'demian maia']","['ost', 'ariel', 'demian maia', 'scarface', 'jorge masvidal', 'linkin park', 'numb']","Demian Maia to ""Numb"" by Linkin Park Jorge Masvidal out to ""Scarface (Remix)"" by Ariel G from the ""Scarface"" OST. ",3017
527,['america'],['america'],don't own America I guess. ,2382
528,[],[],Backstage babes @MileyCyrus x @halsey 😍🔥🎉 ,1998
529,"['carter page', 'trump', 'fisa', 'fbi']","['carter page', 'trump', 'fbi']",Revealed: FBI obtained FISA warrant to monitor former Trump adviser Carter Page ,258
530,"['gop', 'aca']",['gop'],Meet the pre-existing conditions! BREAKING: The GOP voted (217:213) to repeal the ACA. ,906
531,['miley'],[],Miley backstage ,1570
532,[],[],@GamebredFighter / @demianmaia Who u guys got? ,2895
533,[],[],Let's hope this fight delivers. If @GamebredFighter can pull this off it will be awesome! ,3052
534,"['carter page', 'fbi']",['carter page'],No. Is carter page being charged? Just BS conjecture. @RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence. ,59
535,[],[],I hate him and them and the bill ,862
536,[],[],"Easy to state; provide examples. @_Makada_ Explain ""racism against ."" ",2522
537,[],[],(@allelbows) Oh my. ,2595
538,"['comey', 'clinton']",['clinton'],"Comey didn't announce this but on October 28, he went out of his way to announce the non-story of Clinton's emails ",129
539,['nazi'],['nazi'],I think we discovered today that @seanspicer is a closet Nazi. ,106
540,[],[],The whole thread ,675
541,[],[],📸  and  at ,1675
542,[],[],How can repub voters think that is ok?? And exempt themselves from the rules. ,952
543,"['yair', 'edgar']","['edgar', 'ppv']","NEXT on PPV Yair. Edgar. We are so, so spoiled from here on out .. ",2997
544,[],[],It's always nice when your friends show up to support you! ,1304
545,"['carter page', 'russia', 'trump', 'fisa', 'fbi']","['carter page', 'russia', 'trump']",Why those connected 2 @POTUS also connected 2 Russia? FBI got FISA warrant 2 monitor Trump adviser Carter Page. ,97
546,[],[],When most of it today is against us! are the only only racial group in this country who is accused of racism on a daily basis. ,2228
547,['homophobes'],[],Homophobes? ,2257
548,[],['our village'],@aaroncarter is up next at our  Village. ,1885
549,['americans'],[],it certainly feels like the  of  aka  came after older Americans w/ the  bill. Since its . ,744
550,[],['god'],God the hosts of  are funny lol ,1370
551,[],[],*Scoffs* ,525
552,[],[],Dude's gonna sing like a bird. ,232
553,"['carter page', 'spicer']","['carter page', 'spicer']",Spicer owes Carter Page... ,114
554,['poland'],[],It was like the same 6 words over and over again. Polands song in  was garbage. ,1231
555,[],[],"""You gotta get off your [insert expletive here]"" ",1501
556,['affordable care act'],[],Affordable Care Act  Drove Down Personal Bankruptcy - @ConsumerReports Cool!!!! ,596
557,[],[],"""I'll tell you who else gave 12 points to  "" ",1509
558,"['camila', 'snapchat']",[],Camila no Snapchat da @1027KIISFM ,1849
559,['george soros'],"['george soros', 'god']",George Soros thinks he's God   i ,2235
560,"['måns', 'petra']","['måns', 'petra']","No other presenters will ever beat Måns and Petra's performance last year of ""love love peace peace"" and I'm just s… ",1262
561,[],[],affirmative ,2187
562,['niall'],[],Niall onstage at @1027KIISFM  today! ,2051
563,[],[],This is just the beginning y'all ✌🏽 ,1943
564,['jorge'],"['jorge', 'itunes']","Heading to itunes now hahaha Jorge with the scar face soundtrack walkout , I like the vibes  . ",3031
565,[],[],We're back! ,2337
566,[],[],Can't wait to see you perform later at Love you @HaileeSteinfeld!!! ,1831
567,[],[],I'm watching @niallhorran play at  and @Liampayne is standing directly next to me. ,1627
568,[],[],It's Goh-time! ,981
569,[],[],"😒  On Being Black, 'Woke,' And Dating White People ➡️ ➡️ ",2375
570,[],[],"""Give him a chance,"" they said. ",648
571,[],[],If left up to @TheDemocrats it will be the end of … Or just a matter of time? .Science fiction? ,2221
572,['camila'],['camila'],Camila tonight via @901Music. ,1897
573,[],[],Shame! ,774
574,"['scarface', 'jorge masvidal']","['scarface', 'jorge masvidal']",Jorge Masvidal entering to the Scarface theme is super duper gangster. ,3035
575,['sjw'],[],Somewhere a SJW is making the case that ALL whites are bad... while telling them not to generalize other races ;) is trending. ,2300
576,['camila'],['camila'],Camila on 's red carpet. ,1770
577,['gop'],[],How would you like history to remember you? Got to ask all fifty GOP senators this question with the utmost respect ,898
578,"['america', 'obama', 'muslims', 'american people']","['america', 'obama']",What did he do for you? He fooled black+white America. His loyalty was to his Muslims in the hood. OBAMA HAS FAILED THE AMERICAN PEOPLE! ,602
579,[],[],GONE GIRLS AND BOYS! ,836
580,"['frankieedgar', 'yair']",['yair'],Huge shots by FrankieEdgar land on Yair! ,2926
581,[],[],Fuck you. ,1379
582,['miley'],['miley'],Miley with her friends &amp; crew backstage at . ,1684
