,annotations,candidates_holder,tweet_text,tweetid,tpstanford_candidates,fnstanford_candidates,fpstanford_candidates
434,['carter page'],['carter page'],"The blaze is coming. Ah, but Carter Page is the kindling. ",434,1,0,0
435,[],[],@realDonaldTrump Winning Much. So. ,435,0,0,0
436,['fisa'],[],So there was a FISA warrant...for Carter Page ,436,0,1,0
437,[],[],Totally innocent... Definitely no political reasons to talk about emails before the election but not this. ,437,0,0,0
438,['carter page'],"['carter', 'taylor soldier spicoli']",Can't wait for biopic on Carter Page: Tinker Taylor Soldier Spicoli ,438,0,1,2
439,['carter page'],[],"""Carter Page"" ",439,0,1,0
440,['obamagate'],[],"But please, do tell me about ""Obamagate"" again. ",440,0,1,0
441,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'fisa', 'trump', 'washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post Unravelling! ,441,4,1,0
442,['carter page'],[],@samsteinhp @Coquii73 Carter Page: Hold my beer. ,442,0,1,0
443,['john fugelsang'],['john fugelsang!'],"LOVE you John Fugelsang! Smart, witty and knowledgeable. ",443,0,1,1
444,"['carter page', 'fbi', 'hillary', 'andrew mccabe', 'lynch', 'obama', 'rice', 'trump', 'donald trump']","['fbi', 'andrew mccabe', 'donald trump']",Carter Page @marklevinshow FBI  Hillary's Andrew McCabe was secretly working with  Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary! ,444,3,6,0
445,['liberal'],"['fbi', 'carter page']",FBI not accusing Carter Page of any crimes. @nylitgirl 4th paragraph..   typical retarded liberal can only read a headline  (with help I assume). ,445,0,1,2
446,[],[],That's right Auntie @MaxineWaters ,446,0,0,0
447,"['fbi', 'fisa', 'carter page']","['fbi', 'fisa', 'carter page']",The FBI reportedly obtained a FISA warrant to surveil Carter Page ,447,3,0,0
448,['carter page'],[],There are many players it's hard to keep straight..thx @funder for a recap you want to do a thread on Carter Page. ,448,0,1,0
449,"['carter page', 'fisa', 'fisa']",[],"This week: Carter Page FISA warrant 4 weeks ago: no FISA warrant, never happened Last week: unmasking is cool 4 weeks ago: no unmasking ",449,0,3,0
450,[],[],No distractions. Keep up the pressure to get to the truth. ,450,0,0,0
451,['carter page'],['carter page'],Y'all reckon Carter Page is in protective custody? ,451,1,0,0
452,"['james comey', 'carter page', 'fisa']","['james comey', 'carter']",@StarTribune Or he lied and attacked @potus. James Comey should resign at @FBI unless he was lied to about Carter Page FISA warrant. ,452,1,2,1
453,[],[],&amp; ON MEGA THREAD ,453,0,0,0
454,['carter page'],['carter'],the mainstream isjust catching up with what you  posted almost amonth ago about Carter Page.Y A unreal @LouiseMensch You are just unreal. ,454,0,1,1
455,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump']",Drip drip... FBI obtained FISA warrant to monitor former Trump adviser Carter Page ,455,3,1,0
456,"['don', 'carter page']",['don'],"As much as I want  to be true, I'm beginning to think Don the Con, Carter Page and  are TOO stupid to pull off collusion ",456,1,1,0
457,"['msm', 'carter page', 'moscow', 'gop']","['msm', 'carter page', 'moscow', 'gop']",Where was the MSM when Carter Page was jetting off to Moscow for marching orders a week before the GOP convention? ,457,4,0,0
458,"['carter page', 'fbi', 'trump', 'russian', 'russian government', 'fisa']","['trump', 'fisa', 'carter page']","warrant LAST SUMMER on Carter Page FBI: former Trump adviser 'an agent of the Russian government',  obtained FISA ",458,3,3,0
459,[],[],Keep going. Truth starting to be told. ,459,0,0,0
460,['carter page'],['carter'],"Nnnnnnno, Carter Page, I don't think so. ",460,0,1,1
461,[],[],LOST IT ,461,0,0,0
462,"['carter page', 'fisa']",[],"""Carter Page"" FISA WARRANT... handy dandy spying apparatus. ",462,0,2,0
463,['carter page'],['carter page'],Carter Page has the greatest odds of being tragically crushed beneath a piano at the bottom of a stairwell than anyone in earth right now ,463,1,0,0
464,[],[],"LMAOOOO. LMAO, yes, this is a very good story for you. ",464,0,0,0
465,"['carter page', 'fbi', 'fisa']","['carter', 'fbi', 'fisa']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser  by  via @c0nvey ,465,2,1,1
466,"['fisa', 'fbi', 'americans', 'obama', 'obama ck']",['obama ck'],"Report: FISA court approved FBI's request to @MaliaZimmerman, @Bill O'Reilly, Americans are not Stupid, The Obama CK ",466,1,4,0
467,[],"['mcdonald', 'mike vick']",This is slow and dumb they are guilty..VA did better with McDonald and Mike Vick come on people finish finish ,467,0,0,2
468,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The...  by  via @c0nvey ,468,3,1,0
469,"['acting atty general', 'carter page']",[],Acting Atty General ... We have extreme heat. RT @tedlieu: Warrant on Carter Page shows we no longer have smoke. ,469,0,2,0
470,"['fbi', 'trump', 'foreign policy advisor', 'russia']","['fbi', 'russia']",FUN FACT: The FBI had a warrant on Trump's Foreign Policy Advisor believing he was acting as an agent of Russia ,470,2,2,0
471,"['fisa', 'carter page']","['fisa warrant', 'carter']",@MajorCBS @jonkarl @kwelkernbc @margbrennan @devindwyer @HallieJackson @jeffzeleny @kellyO HIT ! FISA Warrant on Carter Page. ,471,0,2,2
472,"['washington post', 'fbi', 'trump', 'carter page', 'page', 'russian']","['fbi', 'trump', 'carter page']","The ""Washington Post"" says the FBI got a warrant to surveil former Trump campaign adviser Carter Page over Page's purported Russian ties. ",472,3,3,0
473,"['fbi', 'hillary', 'fbi', 'fisa', 'trumps', 'carter page']","['fbi', 'carter', 'fbi']",FBI told us plenty about Hillary's computer but nothing about treason. FBI granted a FISA warrant on trumps campaign adviser Carter Page. ,473,2,4,1
474,"['doj', 'fisa', 'carter page']","['doj', 'fisa', 'carter']",Collusion case tightening. DOJ granted FISA warrant on Carter Page. @PaxHart @jasoncamp2013 Wow! ,474,2,1,1
475,"['fbi', 'russia', 'trump']",['fbi'],The secret warrant is first evidence that FBI was investigating Russia-Trump team connection during the campaign. ,475,1,2,0
476,"['obama', 'carter page', 'moscow', 'merrill lynch']",['moscow'],How Many Obama Cronies Will Jailed≡ƒñö The Lame Excuse For Spying On Carter Page Was He Worked In Moscow For Merrill Lynch A DECADE AGO. ,476,1,3,0
477,"['breitbart', 'trump', 'russian']","['trump', 'breitbart']","A predictable Breitbart fake ""Boom"". Actually @carney the ""Boom"" is that Trump acolytes are confirmed to have been Russian dupes or agents. ",477,2,1,0
478,"['sessions', 'page']",[],@FBIWFO @FBI I assume you are making this Sessions Page connection too. ,478,0,2,0
479,[],[],"Looks like we're starting to get somewhere, now. ",479,0,0,0
480,[],[],Weird ,480,0,0,0
481,['page'],['page'],"Let's get the focus back:  "" probable cause to believe Page was acting as an agent of a foreign power"" ",481,1,0,0
482,"['fisa', 'carter page', 'flynn']",['carter'],"ProudlyLiberal2: KeithOlbermann: News of FISA Warrant against Carter Page, continuing silence on Flynn, fits infer ",482,0,3,1
483,"['trump', 'russia']",['russia'],Keep investigating TRAITOR TRUMP ties to Russia ,483,1,1,0
484,"['carter page', 'ic', 'fisa', 'us']","['fisa', 'us', 'carter']","There's a lot more evidence on Carter Page, of  collusion, than IC is letting on. FISA warrant on US citizen isn't easy to get. ",484,2,2,1
485,"['carter page', 'spaniard', 'trumps', 'donald']",['donald'],Carter Page and the Spaniard hacker have the Trumps on fire. For example Donald is the product of an artificial panic. Panic makes mistakes. ,485,1,3,0
486,[],[],Wonder who  will drop missiles on to distract from today's growing list of cluster fucks! ,486,0,0,0
487,['carter page'],['carter'],"Let's talk more about Hitler."" ""Who the hell is Carter Page? @PressSec tomorrow: ",487,0,1,1
488,"['carter page', 'trump']",[],I call BS @Millennial_Dems Dump asses carter page was not on trump trans team. ,488,0,2,0
489,"['trumpanzees', 'carter page', 'hilary', 'obama', 'clinton', 'uranium']",['carter'],"trumpanzees responses to Carter Page: something about Hilary, something about Obama, blah blah fake news, blah blah Clinton, uranium ",489,0,6,1
490,[],[],WE'RE WAITING!! WELL? Nothing clever to say? Hey @realDonaldTrump ,490,0,0,0
491,['carter page'],[],"@RichardGrenell ""Carter Page, PhD..."" ",491,0,1,0
492,"['fisa', 'trump', 'carter page']","['fisa', 'trump', 'carter page']",@FBI obtained FISA warrant to monitor former Trump adviser Carter Page ,492,3,0,0
493,"['spicer', 'holocaust centers', 'carter page', 'mlk jr']","['spicer', 'kellyanne']","Spicer creating ""Holocaust Centers"" &amp; Carter Page making a comparison to MLK Jr.  On standby for Kellyanne to complete today's trifecta. ",493,1,3,1
494,"['carter page', 'fbi', 'fisa', 'hpn']","['carter', 'fbi', 'fisa']",Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser shared on HPN: ,494,2,2,1
495,"['fisa', 'carter page', 'trump']",['fisa'],A second 90-day renewal of the FISA warrant on Carter Page means it was granted post-election and still valid after Trump's inauguration. ,495,1,2,0
496,"['carter page', 'paul manafort', 'russia']",['paul manafort'],"They deny &amp; deny but the guilt is palpable. It is uncomfortable watching  ""Carter Page"" or Paul Manafort interviews discussing Russia. ",496,1,2,0
497,"['trump', 'carter page', 'fisa', 'djt', 'fbi', 'obama']","['fbi', 'fisa', 'trump']","Trump right again. aide, Carter Page. a FISA warrant to investigate a DJT The FBI (under Obama) was granted ",497,3,3,0
498,"['syria', 'chechnya', 'carter page', 'united', 'spicer', 'san bernardino']","['syria', 'chechnya', 'united', 'spicer', 'san bernardino']",@BlayneWeaver Are you referring to Syria or Chechnya or Carter Page or United or Spicer or San Bernardino or *curls into fetal position* ,498,5,1,0
499,[],[],might want to reconsider who you're in leagues with these days... ,499,0,0,0
500,[],[],This is THE story to follow. Don't get distracted. ,500,0,0,0
501,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'fisa', 'trump', 'washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post ,501,4,1,0
502,['carter page'],[],"@MaxineWaters Carter Page..... nervous as a cat, probably already squealing!!!! ",502,0,1,0
503,"['fbi', 'fisa', 'trump', 'carter page', 'trump']","['fbi', 'fisa', 'trump', 'carter', 'trump']","PROTEST NOW NOT MY PRES FBI obtained FISA warrant to monitor former Trump adviser Carter Page, because like Trump himself - Power Corrupts? ",503,4,1,1
504,['carter page'],[],"And Get Help  : -) Re  Carter Page: Please Do Hold Your    Breath, K? ",504,0,1,0
505,"['carter page', 'russia', 'obama']","['carter page', 'russia', 'obama']",@OcAugust @washingtonpost @Circa Carter Page was approached by Russia but told them to kiss off and Obama admin used that to smear him ,505,3,0,0
506,[],[],Should someone tell him? Oh man. LMAO. ,506,0,0,0
507,['fisa'],['fisa'],It is not easy to get a FISA warrant so this is serious. ,507,1,0,0
508,[],['hide. said'],Said every suspected spy prior to indictment. have nothing to hide. ,508,0,0,1
509,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'fisa', 'trump', 'washington post']",Had to be done: FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post ,509,4,1,0
510,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page  /via... by  via @c0nvey ,510,3,1,0
511,[],[],Will this be the flip needed to end this fiasco. ,511,0,0,0
512,"['carter page', 'trump', 'obama', 'trump']","['obama', 'trump', 'carter page', 'trump']","And Carter Page was never a Trump advisor anyway!"" Obama was surveilling Trump advisors! ""See?! ",512,4,0,0
513,[],[],", for the love of God, ",513,0,0,0
514,"['page', 'russia']","['page', 'russia']","""there was probable cause to believe Page was acting as an agent of a foreign power, in this case Russia ",514,2,0,0
515,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'trump', 'carter']",FBI had FISA court order to monitor Trump adviser Carter Page: Report: ,515,2,2,1
516,"['fbi', 'fisa', 'fox news']","['fbi', 'fisa', 'fox news']",FBI reportedly obtained FISA warrant to monitor ex-Trump adviser | Fox News ,516,3,0,0
517,['fisa'],[],"Important context: it is very, very difficult to obtain a FISA warrant. ",517,0,1,0
518,"['nunes', 'wh']",['nunes'],"You know, like a liar does. Makes it seem like Nunes and the WH colluded to hide the real reason the admin was surveilled. ",518,1,1,0
519,['trump'],['trump'],Friendly reminder that Trump mentioned  by name for his foreign policy team. ,519,1,0,0
520,"['russia', 'trump', 'trump']",['russia'],"Essentially, Russia infiltrated trump's campaign and either trump was complicit or stupid ",520,1,2,0
521,"['prince kushner', 'syria', 'fisa']","[""prince kushner's"", 'syria']",So....distract from Prince Kushner's lies on security clearance by bombing Syria &amp; from campaign adviser's FISA by starting a nuclear war? ,521,1,2,1
522,"['trump', 'flynn', 'page']",['trump'],So now we have two Trump advisers acting as foreign agents (Flynn/Page) and a repeated pattern of shifting denials. ,522,1,2,0
523,['fbi'],[],"Was leaker FBI? Not only was this spying on a political opponent, it was another illegal leak. ",523,0,1,0
524,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'fisa', 'trump', 'carter page - washington post']",[World News Update] FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post  | Buy ,524,3,2,1
525,[],[],*Scoffs* ,525,0,0,0
526,[],[],always a must watch ,526,0,0,0
527,"['fisa', 'fbi', 'obama', 'democratic', 'rep']",['obama'],"Report: FISA court approved FBI's request to @whistleblowercl Please come forward on Obama Team, Democratic, Rep. to ",527,1,4,0
528,"['greg leppert', 'fisa', 'fbi', 'trump', 'carter page']","['greg leppert', 'fisa', 'trump', 'carter']","Greg Leppert is reading ""FBI obtained FISA warrant to monitor former Trump adviser Carter Page"" ",528,3,2,1
529,['polonium tea syndrome'],[],Sudden onset polonium tea syndrome is my guess. ,529,0,1,0
530,"['carter page', 'fbi']",['fbi'],Carter Page on the other hand... FBI never made much effort to justify all that spying on the civil rights legend. ,530,1,1,0
531,[],[],@JoyAnnReid  This is a shot over the bow of the @realDonaldTrump ship @wonderfullone @JoyAnnReid @rolandsmartin ,531,0,0,0
532,"['spicer', 'carter page', 'trump', 'russia']","['spicer', 'carter', 'trump']",@GeorgeTakei And tomorrow Spicer will be grateful for Carter Page...until he realizes that it means that the Trump campaign collided with Russia! ,532,2,2,1
533,"['russian', 'carter page']",['carter page'],"@GuardianRover @20committee In probably the only time in my life where I'll agree with Russian spies on something, I don't think Carter Page is too bright. ",533,1,1,0
534,"['carter page', 'fbi', 'martin luther king']","['fbi', 'martin luther king']",Amazing: Carter Page compared FBI surveilancd of him to bureau's surveillance of Martin Luther King ,534,2,1,0
535,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter page @suryaray']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page  @SuryaRay ,535,3,1,1
536,"['carter page', 'trump', 'fbi']","['carter', 'trump']","Carter Page, a Trump advisor, was cleared for surveillance last year by the FBI, per @washingtonpost ",536,1,2,1
537,['carter page'],[],I could have my 6 year old read the article to you if you need some help.. @JohnFugelsang 4th paragraph..  Carter Page not accuses of any crimes.. ,537,0,1,0
538,"['carter page', 'vodka', 'sean spicer', 'united']",[],Carter Page: Hold my vodka. Sean Spicer: Hold my schnapps. United: We own the biggest fuck up of the day. ,538,0,4,0
539,"['trump', 'nunes']",[],"All NG for Trump. This today, fake bombing questions, new proof Nunes lied, take your pick. @crynearson22 @tommyxtopher Yup. ",539,0,2,0
540,"['fbi', 'fisa', 'trump', 'carter page', 'justice', 'fbi']","['fbi', 'fisa', 'trump', 'carter', 'fbi']","FBI obtained FISA warrant to monitor former Trump adviser Carter Page: Justice, FBI ",540,4,2,1
541,[],[],PRAISE GOD FOR THIS HUGE NEWS! ,541,0,0,0
542,"['fbi', 'clinton']",[],"another trump-related investigation that the fbi kept secret during campaigns, while firing off baseless public accusations at clinton. ",542,0,2,0
543,[],[],*Tick-tock*tick-tock* ,543,0,0,0
544,[],[],"@LouiseMensch Well, look at that.... ",544,0,0,0
545,"['carter page', 'fbi', 'trump']",['fbi'],Former Trump Adviser Carter Page Was Being Monitored by FBI (Report)  (TheWrap) ,545,1,2,0
546,"['trump', 'russia']",[],&amp; trump/russia info. Imp. Please Read &amp; share the following. ,546,0,2,0
547,"['carter page', 'trump']",['carter page'],I call BS @darionavarro111 Carter Page was not a Trump advisor? ,547,1,1,0
548,[],[],"Terrible. A sad day indeed for emergency physicians and their patients, who may lose guaranteed coverage for ER visits thanks to . ",548,0,0,0
549,"['house republicans', 'american']",[],house republicans just wanted to make it clear that they hate the american people. ,549,0,2,0
550,"['house republicans', 'obamacare']",['house'],House Republicans pass shameful Obamacare repeal ,550,0,2,1
551,[],[],@FwdTogetherSTL @IndivisibleTeam @Indivisible_STL @RISEUP63122 Come to a  &amp; share your views! Angry at @RepAnnWagner's  vote? ,551,0,0,0
552,[],[],@RepJBridenstine you are evil ,552,0,0,0
553,"['republicans', 'obamacare', 'house of representatives']",[],"Death is freedom: Republicans pass Obamacare repeal bill: In a 217-213 vote in the House of Representatives, every… ",553,0,3,0
554,['congress'],['congress'],"Put them on notice If you live in the following states, your Congress representative flipped. ",554,1,0,0
555,"['cbo', 'obamacare']",['cbo'],voted for the  without seeing the CBO scoring (cost and effects) of Obamacare 'repeal and replace' bill. ,555,1,1,0
556,['msm'],[],"Corrupt pigs benefiting from 2-party MSM fawns selling BS to people who trust them, negotiating. Oh, what a fun time reconciliation will be. ",556,0,1,0
557,[],[],There's the guy in the yellow suit. I remain struck by the diversity. ,557,0,0,0
558,['republicans'],[],Kudos to the 20 brave Republicans who faced down enormous pressure and followed their consciences and common sense against this travesty ,558,0,1,0
559,['coal mining'],[],"those coal mining states beware you have the most to lose, no jobs, no vacations, no health care, no pre existing healthcare, or retirement ",559,0,1,0
560,"['michigan', 'senate']",['michigan'],"Michigan congressman @RepJohnConyers on the , now on its way to the Senate. ",560,1,1,0
561,"['the death panel', 'house republicans', 'trumpcare']",['house'],"@amjoyshow Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare. ",561,0,3,1
562,[],[],They don't give any fucks that people will die. All those politicians are so smug. ,562,0,0,0
563,['senate'],['senate'],"Like your seats next elections. Yes, on to the Senate where this'll be D.O.A. ",563,1,0,0
564,[],[],@TheLastWord @Lawrence Does  cover an epidemic of  ? ,564,0,0,0
565,[],[],My pinned tweet is no joke We must Our nation is going backward ppl    saved me. Gross!!! ,565,0,0,0
566,"['pro-life', 'christians']",[],You are neither of these things. Or PRO-LIFE. Dear @GOP Please stop calling yourselves CHRISTIANS! ,566,0,2,0
567,['health plan'],[],A Health Plan CEO Daydreams ... ,567,0,1,0
568,[],[],@RosLehtinen my girl! ,568,0,0,0
569,"['townhall', 'wnyers moc']",[],Host a townhall. @RepChrisCollins WNYers know MOC exempted themselves from the worst parts of the  Your constituents wd like a word. ,569,0,2,0
570,[],[],I called it when I woke up this morning ,570,0,0,0
571,"['american christians', 'jesus christ']","['american christians', 'jesus']",Oh my fucking god! This pic is what American Christians thinks represents the teachings of Jesus Christ. ,571,1,1,1
572,[],[],Not on board with current form. Statement from @SenDeanHeller on . ,572,0,0,0
573,[],[],"Guess I'd better not get sick, have children or get older 😑😑😑 ",573,0,0,0
574,"['obamacare', 'hosue republicans']",['house'],"thehill: ""Vote to repeal ObamaCare spells doom for House Republicans"" ",574,0,2,1
575,[],[],#NAME? ,575,0,0,0
576,[],[],R children not leaders. these a Goes 2 show how close-minded @HouseDemocrats R. But singing? @ABCPolitics Why I will never vote democratic AGAIN. ,576,0,0,0
577,['americans'],[],"Disgusting, @SusanWBrooks , voting to let thousands of Americans lose  coverage to give tax breaks to the rich. ",577,0,1,0
578,[],[],Thank you @RepThomasMassie for voting no on ,578,0,0,0
579,"['gop', 'wh']",['gop'],Probably the real reason for the GOP celebrations at the WH just now. ,579,1,1,0
580,"['house republicans', 'senate', 'house', 'nov 2018']","['house', 'senate', 'house']",House Republicans are hoping that Senate will not kick the ball back to House before Nov 2018 when the chips will fall where they may. ,580,2,2,0
581,[],[],He had no intention to listen to his constituents... ,581,0,0,0
582,['republican'],[],"Republican idea is insurance companies are just going to drop premiums, cover more for less because they've done that before - ever ",582,0,1,0
583,"['pro-life', 'pro-birth']",[],Not PRO-LIFE. They are only PRO-BIRTH. ,583,0,2,0
584,"['house republicans', 'american health care act']",['house'],"When House Republicans secured their 216th “yes” on the American Health Care Act Thursday, Democrats immediately... ",584,0,2,1
585,['michelle'],[],Suckers We are off the hook before it imploded. Let's go Michelle. ,585,0,1,0
586,[],[],FUCK THEM ,586,0,0,0
587,['republicans'],[],"The Republicans heard the cries of millions who wanted healthcare, they did the opposite and did what insurance giants wanted. ",587,0,1,0
588,[],[],"Honestly what IS our government anymore, on both sides? ",588,0,0,0
589,['congress'],['congress'],Live shot of  Congress celebrating a vote to strip millions of healthcare and literally sentence people to death. ,589,1,0,0
590,['jason blossom'],['jason blossom'],killed Jason Blossom ,590,1,0,0
591,[],[],"You half wits that voted in this mess - didn't think he'd take away YOUR healthcare, did ya? ",591,0,0,0
592,['gop'],['gop'],Will that help? Hey @Heineken can you stage an ad with some GOP congressmen and their sick constituents who might die now? ,592,1,0,0
593,['congress'],['congress'],Please support @MikeLevinCA runs for Congress against @DarrellIssa what voted YES on ,593,1,0,0
594,[],[],They will lose their seat and be hated U did a good thing today U made sure all the house republicans will get to go home. @realDonaldTrump ,594,0,0,0
595,"['washington post', 'republicans', 'house']","['house', 'washington post']",- Washington Post Republicans just wave bye-bye to their House majority? ,595,2,1,0
596,['affordable care act'],[],Affordable Care Act  Drove Down Personal Bankruptcy - @ConsumerReports Cool!!!! ,596,0,1,0
597,"['kkk', 'america']",['kkk'],The KKK (out of uniform) deciding what's best for America. ,597,1,1,0
598,[],[],For all d people who didn't vote cause  weren't for single payer i hope you are happy with the  version ,598,0,0,0
599,[],[],These fucks never disapoint. Just when you think things cant get worse? ,599,0,0,0
600,['medicaid'],[],"Domestic violence is a pre condition according to the , along with the huge almost 1 Trillion Medicaid cut, wife beaters paradise 1.) ",600,0,1,0
601,[],[],"We all see it. Party over country @RepKinzinger. Maybe I missed it, but I didn't see a single comment here saying you did the right thing. ",601,0,0,0
602,"['america', 'muslims', 'obama', 'american people']",['obama'],What did he do for you? He fooled black+white America. His loyalty was to his Muslims in the hood. OBAMA HAS FAILED THE AMERICAN PEOPLE! ,602,1,3,0
603,['ca'],[],Thought you were better than that. Disappointed with CA republicans for towing the line and following blindly. ,603,0,1,0
604,['house republicans'],[],Way to go House Republicans! Putting their seats in jeopardy for nothing! Exactly! ,604,0,1,0
605,[],[],"Local Rotund Toddler Dismantles Constituents' Health Care, Demands Treats ",605,0,0,0
606,['republican'],['must. every republican'],Every republican who voted Yes today has got to go. This is a Must. ,606,0,1,1
607,['ivanka'],[],"is splendid. @IvankaTrump Thank you, Ivanka! ",607,0,1,0
608,[],[],"More ! s/ have month to rvw B4 vote! @GOP is JUST like , shoving   down our throats that NO ONE has read! ",608,0,0,0
609,['ann courter'],['ann courter'],"bad for women who are charged more for insurance than men Yet another  lie or as Ann Courter puts it... he just ""bull sh*ts"". ",609,1,0,0
610,[],[],A battered woman pays extra for health care while the guy who beat the shit out of her doesn't. 1. ,610,0,0,0
611,[],[],Fuck all of them. you hear that? ,611,0,0,0
612,[],[],This is just one consequence of the . Take note. ,612,0,0,0
613,"[""o'care"", 'ruth']",[],"They're just loving crying again Most of these folks don't even rely on O'care for their insurance. @rlgordon18_ruth   Yea Ruth, but the sky is falling! ",613,0,2,0
614,"['senate republicans', 'house', 'health care law']",['senate'],Senate Republicans Already Say the House Health Care Law ‘Falls Short’ ,614,0,3,1
615,[],[],"Ignorance is the most curable, but most dangerous, disease. ",615,0,0,0
616,[],[],Welp. ,616,0,0,0
617,['dave matthews'],['dave matthews'],"""We've been at this Dave Matthews concert for 75 years"" ",617,1,0,0
618,"['democrats', 'house republicans', 'republicans', 'obamacare']","['house', 'obamacare']",Democrats broke into this chant after House Republicans voted to repeal Obamacare ,618,1,3,1
619,"['trump', 'trump', 'house republicans']","['trump', 'house']",", TRUMP DON'T They don't care too much about you. Trump has made it clear and House Republicans have too. ",619,2,1,1
620,['house'],[],"Hey @DNC, 217 seats just became vulnerable in the House. ",620,0,1,0
621,['house republicans'],['house'],"Sorry losing isn't fun, not that I know what that feels like. House Republicans did their job and the left can't take it. ",621,0,1,1
622,['house'],['house'],Here's how every single person in the House voted on ,622,1,0,0
623,"['republican', 'aca']",[],"Republican  ""would erase the coverage gains of [ACA] &amp; leave 24 million more people uninsured"" @CNNMoney ",623,0,2,0
624,['floridans'],['party'],Today you put Party before constituents &amp; we do not forget. Floridians will not forget your YES vote today on . @RepRooney @TomRooney ,624,0,1,1
625,"['senators', 'representatives']",[],Call your Senators AND the Representatives that voted for this bill. ,625,0,2,0
626,['senate'],[],"Hey @SenatorMenendez and @CoryBooker, just wanted to confirm you'll both be voting ""NO"" when the  hits the Senate, right? ",626,0,1,0
627,[],[],-Care about someone with a mental illness -Have a mental illness RT if you: ,627,0,0,0
628,[],[],Is soulless asshat a pre-existing condition? ,628,0,0,0
629,[],[],"But honestly, how can you call yourself 'a civilized country' if health is not a right but a privilege? ",629,0,0,0
630,[],[],"You're a special kind of ""stupid"" aren't you. ",630,0,0,0
631,[],[],The asshole brigade. ,631,0,0,0
632,[],[],Party affiliations can't come before human lives. Those who voted for this MUST be held accountable. We must speak louder at the polls. ,632,0,0,0
633,[],[],Proposed  bill will do serious harm to...  by  via @c0nvey Voice your concern to reps - now. ,633,0,0,0
634,['healthcare'],[],"Healthcare bill passed, what does it mean? ",634,0,1,0
635,['obamacare'],[],for relief from the  failed Obamacare. ,635,0,1,0
636,[],[],Remember their names. ,636,0,0,0
637,['medicaid'],['medicaid'],"All children need health coverage @repdonbeyer TY for the ""no"" vote on  The bill puts Medicaid 4 kids at risk! ",637,1,0,0
638,"['republicans', 'obamacare']",[],why are republicans celebrating the repeal and replace obamacare bill going thru the house when it hasn't even gone thru the senate yet LOL ,638,0,2,0
639,[],[],"This is shameful -- lives are at stake. discriminates against mothers, children, seniors, individuals with disabilities, and the sick. ",639,0,0,0
640,[],[],New Health Hashtag 👉 ,640,0,0,0
641,['socialist'],[],If you like the vid retweet it. My take as a socialist as to how we deal with the health insurance war. ,641,0,1,0
642,['barry'],[],"Of course, if that's your idea of a legacy you've got bigger problems than that. You lied, Barry, and now your legacy is going to die. ",642,0,1,0
643,[],[],Pro-life extends beyond 9 months gestation  😡😢 ,643,0,0,0
644,"['gop', 'house']",['gop house'],👏🏻👏🏻 THANK THESE GOP House members who put their constituents FIRST. ,644,0,2,1
645,[],[],"I want to go home and use a ""sick day"" but that might later be considered a pre-existing condition. Destroyed over the sad news about . ",645,0,0,0
646,[],[],This from the same drooling moron who declared there would be nothing.... ,646,0,0,0
647,['democrats'],[],And Democrats are stunned as to how they lost in 2016. ,647,0,1,0
648,[],[],"""Give him a chance,"" they said. ",648,0,0,0
649,[],[],just took a giant step toward undoing 's greatest legacy     @Independent ,649,0,0,0
650,"['republicans', 'gop']",[],"This is why I left the Republicans years ago. Get ready to sing ""Nah nah nah"" in 2018, GOP. ",650,0,2,0
651,[],"['congress', 'house']","@chrislhayes @maddow @Lawrence Please say..those Congress vote yes on ,constituents will vote them out 2018,Dems may get House majority ",651,0,0,2
652,[],['house'],"I will be voting for more House Republicans and Senators, since they are keeping promises. On Tuesday, November 6th, 2018, ",652,0,0,1
653,['house republicans'],[],House Republicans should be ashamed. @GeneralLeiaDC @RepAlexMooney I'll vote for you. ,653,0,1,0
654,['gop'],['gop'],They're up for re-election in 2018! These 24 GOP swing state reps voted “yes” for  (which cares not). ,654,1,0,0
655,"['death panel', 'house republicans', 'trumpcare']",['house'],"@SueinRockville Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare. ",655,0,3,1
656,[],[],REMEMBER ,656,0,0,0
